keyword_id,keyword,keyword_type,category,subcategory,priority,active,notes
KW0001,fantasy books,genre,Fiction Genres,Fantasy,core,TRUE,
KW0002,fantasy book recommendations,genre,Fiction Genres,Fantasy,secondary,TRUE,
KW0003,epic fantasy,genre,Fiction Genres,Fantasy,secondary,TRUE,
KW0004,cozy fantasy,genre,Fiction Genres,Fantasy,core,TRUE,
KW0005,romantasy,genre,Fiction Genres,Fantasy,core,TRUE,
KW0006,dark fantasy,genre,Fiction Genres,Fantasy,secondary,TRUE,
KW0007,progression fantasy,genre,Fiction Genres,Fantasy,secondary,TRUE,
KW0008,grimdark,genre,Fiction Genres,Fantasy,secondary,TRUE,
KW0009,urban fantasy,genre,Fiction Genres,Fantasy,secondary,TRUE,
KW0010,historical fantasy,genre,Fiction Genres,Fantasy,secondary,TRUE,
KW0011,portal fantasy,genre,Fiction Genres,Fantasy,secondary,TRUE,
KW0012,sword and sorcery,genre,Fiction Genres,Fantasy,secondary,TRUE,
KW0013,gaslamp fantasy,genre,Fiction Genres,Fantasy,secondary,TRUE,
KW0014,mythological retelling,genre,Fiction Genres,Fantasy,secondary,TRUE,
KW0015,Arthurian fantasy,genre,Fiction Genres,Fantasy,secondary,TRUE,
KW0016,LitRPG,genre,Fiction Genres,Fantasy,secondary,TRUE,
KW0017,science fiction books,genre,Fiction Genres,Science Fiction,core,TRUE,
KW0018,sci fi books,genre,Fiction Genres,Science Fiction,core,TRUE,
KW0019,hard sci fi,genre,Fiction Genres,Science Fiction,secondary,TRUE,
KW0020,space opera,genre,Fiction Genres,Science Fiction,secondary,TRUE,
KW0021,military sci fi,genre,Fiction Genres,Science Fiction,secondary,TRUE,
KW0022,cyberpunk,genre,Fiction Genres,Science Fiction,secondary,TRUE,
KW0023,solarpunk,genre,Fiction Genres,Science Fiction,core,TRUE,
KW0024,hopepunk,genre,Fiction Genres,Science Fiction,secondary,TRUE,
KW0025,climate fiction,genre,Fiction Genres,Science Fiction,core,TRUE,
KW0026,cli fi,genre,Fiction Genres,Science Fiction,secondary,TRUE,
KW0027,dystopian fiction,genre,Fiction Genres,Science Fiction,secondary,TRUE,
KW0028,post apocalyptic fiction,genre,Fiction Genres,Science Fiction,secondary,TRUE,
KW0029,first contact,genre,Fiction Genres,Science Fiction,secondary,TRUE,
KW0030,AI fiction,genre,Fiction Genres,Science Fiction,secondary,TRUE,
KW0031,horror books,genre,Fiction Genres,Horror,core,TRUE,
KW0032,gothic horror,genre,Fiction Genres,Horror,secondary,TRUE,
KW0033,folk horror,genre,Fiction Genres,Horror,secondary,TRUE,
KW0034,cosmic horror,genre,Fiction Genres,Horror,secondary,TRUE,
KW0035,psychological horror,genre,Fiction Genres,Horror,secondary,TRUE,
KW0036,mystery books,genre,Fiction Genres,Mystery & Thriller,core,TRUE,
KW0037,detective fiction,genre,Fiction Genres,Mystery & Thriller,secondary,TRUE,
KW0038,thriller books,genre,Fiction Genres,Mystery & Thriller,core,TRUE,
KW0039,psychological thriller,genre,Fiction Genres,Mystery & Thriller,secondary,TRUE,
KW0040,cozy mystery,genre,Fiction Genres,Mystery & Thriller,secondary,TRUE,
KW0041,romance books,genre,Fiction Genres,Romance,core,TRUE,
KW0042,contemporary romance,genre,Fiction Genres,Romance,secondary,TRUE,
KW0043,historical romance,genre,Fiction Genres,Romance,secondary,TRUE,
KW0044,dark romance,genre,Fiction Genres,Romance,core,TRUE,
KW0045,paranormal romance,genre,Fiction Genres,Romance,secondary,TRUE,
KW0046,monster romance,genre,Fiction Genres,Romance,secondary,TRUE,
KW0047,historical fiction,genre,Fiction Genres,Historical Fiction,core,TRUE,
KW0048,WW2 fiction,genre,Fiction Genres,Historical Fiction,secondary,TRUE,
KW0049,ancient rome fiction,genre,Fiction Genres,Historical Fiction,secondary,TRUE,
KW0050,medieval fiction,genre,Fiction Genres,Historical Fiction,secondary,TRUE,
KW0051,renaissance fiction,genre,Fiction Genres,Historical Fiction,secondary,TRUE,
KW0052,victorian fiction,genre,Fiction Genres,Historical Fiction,secondary,TRUE,
KW0053,literary fiction,genre,Fiction Genres,Literary Fiction,core,TRUE,
KW0054,contemporary fiction,genre,Fiction Genres,Literary Fiction,core,TRUE,
KW0055,book club fiction,genre,Fiction Genres,Literary Fiction,secondary,TRUE,
KW0056,nonfiction books,nonfiction_topic,Nonfiction,History,core,TRUE,
KW0057,history books,nonfiction_topic,Nonfiction,History,core,TRUE,
KW0058,military history,nonfiction_topic,Nonfiction,History,secondary,TRUE,
KW0059,ancient history,nonfiction_topic,Nonfiction,History,secondary,TRUE,
KW0060,medieval history,nonfiction_topic,Nonfiction,History,secondary,TRUE,
KW0061,world history,nonfiction_topic,Nonfiction,History,secondary,TRUE,
KW0062,political books,nonfiction_topic,Nonfiction,Politics & Society,secondary,TRUE,
KW0063,democracy books,nonfiction_topic,Nonfiction,Politics & Society,secondary,TRUE,
KW0064,authoritarianism books,nonfiction_topic,Nonfiction,Politics & Society,secondary,TRUE,
KW0065,social justice books,nonfiction_topic,Nonfiction,Politics & Society,secondary,TRUE,
KW0066,feminist books,nonfiction_topic,Nonfiction,Feminism,secondary,TRUE,
KW0067,feminist nonfiction,nonfiction_topic,Nonfiction,Feminism,secondary,TRUE,
KW0068,women studies books,nonfiction_topic,Nonfiction,Feminism,secondary,TRUE,
KW0069,climate change books,nonfiction_topic,Nonfiction,Environment,secondary,TRUE,
KW0070,environmental books,nonfiction_topic,Nonfiction,Environment,secondary,TRUE,
KW0071,sustainability books,nonfiction_topic,Nonfiction,Environment,secondary,TRUE,
KW0072,science books,nonfiction_topic,Nonfiction,Science,secondary,TRUE,
KW0073,popular science books,nonfiction_topic,Nonfiction,Science,secondary,TRUE,
KW0074,astronomy books,nonfiction_topic,Nonfiction,Science,secondary,TRUE,
KW0075,neuroscience books,nonfiction_topic,Nonfiction,Science,secondary,TRUE,
KW0076,productivity books,nonfiction_topic,Nonfiction,Productivity & Self Development,exploratory,TRUE,
KW0077,self improvement books,nonfiction_topic,Nonfiction,Productivity & Self Development,exploratory,TRUE,
