keyword_id,keyword,keyword_type,category,subcategory,priority,active,notes
KW0001,fantasy books,genre,Fiction Genres,Fantasy,core,TRUE,
KW0002,fantasy book recommendations,genre,Fiction Genres,Fantasy,secondary,TRUE,
KW0003,epic fantasy,genre,Fiction Genres,Fantasy,secondary,TRUE,
KW0004,cozy fantasy,genre,Fiction Genres,Fantasy,core,TRUE,
KW0005,romantasy,genre,Fiction Genres,Fantasy,core,TRUE,
KW0006,dark fantasy,genre,Fiction Genres,Fantasy,secondary,TRUE,
KW0007,progression fantasy,genre,Fiction Genres,Fantasy,secondary,TRUE,
KW0008,grimdark,genre,Fiction Genres,Fantasy,secondary,TRUE,
KW0009,urban fantasy,genre,Fiction Genres,Fantasy,secondary,TRUE,
KW0010,historical fantasy,genre,Fiction Genres,Fantasy,secondary,TRUE,
KW0011,portal fantasy,genre,Fiction Genres,Fantasy,secondary,TRUE,
KW0012,sword and sorcery,genre,Fiction Genres,Fantasy,secondary,TRUE,
KW0013,gaslamp fantasy,genre,Fiction Genres,Fantasy,secondary,TRUE,
KW0014,mythological retelling,genre,Fiction Genres,Fantasy,secondary,TRUE,
KW0015,Arthurian fantasy,genre,Fiction Genres,Fantasy,secondary,TRUE,
KW0016,science fiction books,genre,Fiction Genres,Science Fiction,core,TRUE,
KW0017,sci fi books,genre,Fiction Genres,Science Fiction,core,TRUE,
KW0018,hard sci fi,genre,Fiction Genres,Science Fiction,secondary,TRUE,
KW0019,space opera,genre,Fiction Genres,Science Fiction,secondary,TRUE,
KW0020,military sci fi,genre,Fiction Genres,Science Fiction,secondary,TRUE,
KW0021,cyberpunk,genre,Fiction Genres,Science Fiction,secondary,TRUE,
KW0022,solarpunk,genre,Fiction Genres,Science Fiction,core,TRUE,
KW0023,hopepunk,genre,Fiction Genres,Science Fiction,secondary,TRUE,
KW0024,climate fiction,genre,Fiction Genres,Science Fiction,core,TRUE,
KW0025,cli fi,genre,Fiction Genres,Science Fiction,secondary,TRUE,
KW0026,dystopian fiction,genre,Fiction Genres,Science Fiction,secondary,TRUE,
KW0027,post apocalyptic fiction,genre,Fiction Genres,Science Fiction,secondary,TRUE,
KW0028,first contact,genre,Fiction Genres,Science Fiction,secondary,TRUE,
KW0029,AI fiction,genre,Fiction Genres,Science Fiction,secondary,TRUE,
KW0030,horror books,genre,Fiction Genres,Horror,core,TRUE,
KW0031,gothic horror,genre,Fiction Genres,Horror,secondary,TRUE,
KW0032,folk horror,genre,Fiction Genres,Horror,secondary,TRUE,
KW0033,cosmic horror,genre,Fiction Genres,Horror,secondary,TRUE,
KW0034,psychological horror,genre,Fiction Genres,Horror,secondary,TRUE,
KW0035,mystery books,genre,Fiction Genres,Mystery & Thriller,core,TRUE,
KW0036,detective fiction,genre,Fiction Genres,Mystery & Thriller,secondary,TRUE,
KW0037,thriller books,genre,Fiction Genres,Mystery & Thriller,core,TRUE,
KW0038,psychological thriller,genre,Fiction Genres,Mystery & Thriller,secondary,TRUE,
KW0039,cozy mystery,genre,Fiction Genres,Mystery & Thriller,secondary,TRUE,
KW0040,romance books,genre,Fiction Genres,Romance,core,TRUE,
KW0041,contemporary romance,genre,Fiction Genres,Romance,secondary,TRUE,
KW0042,historical romance,genre,Fiction Genres,Romance,secondary,TRUE,
KW0043,dark romance,genre,Fiction Genres,Romance,core,TRUE,
KW0044,paranormal romance,genre,Fiction Genres,Romance,secondary,TRUE,
KW0045,monster romance,genre,Fiction Genres,Romance,secondary,TRUE,
KW0046,historical fiction,genre,Fiction Genres,Historical Fiction,core,TRUE,
KW0047,WW2 fiction,genre,Fiction Genres,Historical Fiction,secondary,TRUE,
KW0048,ancient rome fiction,genre,Fiction Genres,Historical Fiction,secondary,TRUE,
KW0049,medieval fiction,genre,Fiction Genres,Historical Fiction,secondary,TRUE,
KW0050,renaissance fiction,genre,Fiction Genres,Historical Fiction,secondary,TRUE,
KW0051,victorian fiction,genre,Fiction Genres,Historical Fiction,secondary,TRUE,
KW0052,literary fiction,genre,Fiction Genres,Literary Fiction,core,TRUE,
KW0053,contemporary fiction,genre,Fiction Genres,Literary Fiction,core,TRUE,
KW0054,book club fiction,genre,Fiction Genres,Literary Fiction,secondary,TRUE,
KW0055,nonfiction books,nonfiction_topic,Nonfiction,History,core,TRUE,
KW0056,history books,nonfiction_topic,Nonfiction,History,core,TRUE,
KW0057,military history,nonfiction_topic,Nonfiction,History,secondary,TRUE,
KW0058,ancient history,nonfiction_topic,Nonfiction,History,secondary,TRUE,
KW0059,medieval history,nonfiction_topic,Nonfiction,History,secondary,TRUE,
KW0060,world history,nonfiction_topic,Nonfiction,History,secondary,TRUE,
KW0061,political books,nonfiction_topic,Nonfiction,Politics & Society,secondary,TRUE,
KW0062,democracy books,nonfiction_topic,Nonfiction,Politics & Society,secondary,TRUE,
KW0063,authoritarianism books,nonfiction_topic,Nonfiction,Politics & Society,secondary,TRUE,
KW0064,social justice books,nonfiction_topic,Nonfiction,Politics & Society,secondary,TRUE,
KW0065,feminist books,nonfiction_topic,Nonfiction,Feminism,secondary,TRUE,
KW0066,feminist nonfiction,nonfiction_topic,Nonfiction,Feminism,secondary,TRUE,
KW0067,women studies books,nonfiction_topic,Nonfiction,Feminism,secondary,TRUE,
KW0068,climate change books,nonfiction_topic,Nonfiction,Environment,secondary,TRUE,
KW0069,environmental books,nonfiction_topic,Nonfiction,Environment,secondary,TRUE,
KW0070,sustainability books,nonfiction_topic,Nonfiction,Environment,secondary,TRUE,
KW0071,science books,nonfiction_topic,Nonfiction,Science,secondary,TRUE,
KW0072,popular science books,nonfiction_topic,Nonfiction,Science,secondary,TRUE,
KW0073,astronomy books,nonfiction_topic,Nonfiction,Science,secondary,TRUE,
KW0074,neuroscience books,nonfiction_topic,Nonfiction,Science,secondary,TRUE,
KW0075,productivity books,nonfiction_topic,Nonfiction,Productivity & Self Development,exploratory,TRUE,
KW0076,self improvement books,nonfiction_topic,Nonfiction,Productivity & Self Development,exploratory,TRUE,
KW0077,habit books,nonfiction_topic,Nonfiction,Productivity & Self Development,exploratory,TRUE,
