keyword_id,search_string,language,region,max_results,search_type,order,frequency,batch
KW0001,fantasy books,en,US,50,video,date,daily,batch_1
KW0002,fantasy book recommendations,en,US,50,video,date,daily,batch_2
KW0003,epic fantasy books,en,US,50,video,date,daily,batch_2
KW0004,cozy fantasy,en,US,50,video,date,daily,batch_1
KW0005,romantasy,en,US,50,video,date,daily,batch_1
KW0006,dark fantasy books,en,US,50,video,date,daily,batch_2
KW0007,progression fantasy books,en,US,50,video,date,daily,batch_2
KW0008,grimdark books,en,US,50,video,date,daily,batch_2
KW0009,urban fantasy books,en,US,50,video,date,daily,batch_2
KW0010,historical fantasy books,en,US,50,video,date,daily,batch_2
KW0011,portal fantasy books,en,US,50,video,date,daily,batch_2
KW0012,sword and sorcery books,en,US,50,video,date,daily,batch_2
KW0013,gaslamp fantasy books,en,US,50,video,date,daily,batch_2
KW0014,mythological retelling,en,US,50,video,date,daily,batch_2
KW0015,Arthurian fantasy,en,US,50,video,date,daily,batch_2
KW0016,LitRPG,en,US,50,video,date,daily,batch_2
KW0017,science fiction books,en,US,50,video,date,daily,batch_1
KW0018,sci fi books,en,US,50,video,date,daily,batch_1
KW0019,hard sci fi,en,US,50,video,date,daily,batch_2
KW0020,space opera books,en,US,50,video,date,daily,batch_2
KW0021,military sci fi books,en,US,50,video,date,daily,batch_2
KW0022,cyberpunk books,en,US,50,video,date,daily,batch_2
KW0023,solarpunk,en,US,50,video,date,daily,batch_1
KW0024,hopepunk books,en,US,50,video,date,daily,batch_2
KW0025,climate fiction,en,US,50,video,date,daily,batch_1
KW0026,cli fi,en,US,50,video,date,daily,batch_2
KW0027,dystopian fiction books,en,US,50,video,date,daily,batch_2
KW0028,post apocalyptic books,en,US,50,video,date,daily,batch_2
KW0029,first contact sci fi,en,US,50,video,date,daily,batch_2
KW0030,AI fiction,en,US,50,video,date,daily,batch_2
KW0031,horror books,en,US,50,video,date,daily,batch_1
KW0032,gothic horror books,en,US,50,video,date,daily,batch_2
KW0033,folk horror books,en,US,50,video,date,daily,batch_2
KW0034,cosmic horror books,en,US,50,video,date,daily,batch_2
KW0035,psychological horror books,en,US,50,video,date,daily,batch_2
KW0036,mystery books,en,US,50,video,date,daily,batch_1
KW0037,detective fiction,en,US,50,video,date,daily,batch_2
KW0038,thriller books,en,US,50,video,date,daily,batch_1
KW0039,psychological thriller,en,US,50,video,date,daily,batch_2
KW0040,cozy mystery,en,US,50,video,date,daily,batch_2
KW0041,romance books,en,US,50,video,date,daily,batch_1
KW0042,contemporary romance,en,US,50,video,date,daily,batch_2
KW0043,historical romance,en,US,50,video,date,daily,batch_2
KW0044,dark romance,en,US,50,video,date,daily,batch_1
KW0045,paranormal romance,en,US,50,video,date,daily,batch_2
KW0046,monster romance,en,US,50,video,date,daily,batch_2
KW0047,historical fiction,en,US,50,video,date,daily,batch_1
KW0048,WW2 fiction,en,US,50,video,date,daily,batch_2
KW0049,ancient rome fiction,en,US,50,video,date,daily,batch_2
KW0050,medieval fiction,en,US,50,video,date,daily,batch_2
KW0051,renaissance fiction,en,US,50,video,date,daily,batch_2
KW0052,victorian fiction,en,US,50,video,date,daily,batch_2
KW0053,literary fiction,en,US,50,video,date,daily,batch_1
KW0054,contemporary fiction,en,US,50,video,date,daily,batch_1
KW0055,book club fiction,en,US,50,video,date,daily,batch_2
KW0056,nonfiction books,en,US,50,video,date,daily,batch_1
KW0057,history books,en,US,50,video,date,daily,batch_1
KW0058,military history,en,US,50,video,date,daily,batch_3
KW0059,ancient history,en,US,50,video,date,daily,batch_3
KW0060,medieval history,en,US,50,video,date,daily,batch_3
KW0061,world history,en,US,50,video,date,daily,batch_3
KW0062,political books,en,US,50,video,date,daily,batch_3
KW0063,democracy books,en,US,50,video,date,daily,batch_3
KW0064,authoritarianism books,en,US,50,video,date,daily,batch_3
KW0065,social justice books,en,US,50,video,date,daily,batch_3
KW0066,feminist books,en,US,50,video,date,daily,batch_3
KW0067,feminist nonfiction,en,US,50,video,date,daily,batch_3
KW0068,women studies books,en,US,50,video,date,daily,batch_3
KW0069,climate change books,en,US,50,video,date,daily,batch_3
KW0070,environmental books,en,US,50,video,date,daily,batch_3
KW0071,sustainability books,en,US,50,video,date,daily,batch_3
KW0072,science books,en,US,50,video,date,daily,batch_3
KW0073,popular science books,en,US,50,video,date,daily,batch_3
KW0074,astronomy books,en,US,50,video,date,daily,batch_3
KW0075,neuroscience books,en,US,50,video,date,daily,batch_3
KW0076,productivity books,en,US,50,video,date,weekly,batch_4
KW0077,self improvement books,en,US,50,video,date,weekly,batch_4
KW0078,habit books,en,US,50,video,date,weekly,batch_4
KW0079,black authors,en,US,50,video,date,daily,batch_3
KW0080,black literature,en,US,50,video,date,daily,batch_3
KW0081,african american literature,en,US,50,video,date,daily,batch_3
KW0082,asian authors,en,US,50,video,date,daily,batch_3
KW0083,asian literature,en,US,50,video,date,daily,batch_3
KW0084,latinx authors,en,US,50,video,date,daily,batch_3
KW0085,indigenous authors,en,US,50,video,date,daily,batch_1
KW0086,indigenous literature,en,US,50,video,date,daily,batch_1
KW0087,native american literature,en,US,50,video,date,daily,batch_3
KW0088,indigenous reading list,en,US,50,video,date,daily,batch_3
KW0089,queer books,en,US,50,video,date,daily,batch_3
KW0090,queer literature,en,US,50,video,date,daily,batch_3
KW0091,LGBTQ books,en,US,50,video,date,daily,batch_3
KW0092,lesbian books,en,US,50,video,date,daily,batch_3
KW0093,gay books,en,US,50,video,date,daily,batch_3
KW0094,trans books,en,US,50,video,date,daily,batch_3
KW0095,disability books,en,US,50,video,date,daily,batch_3
KW0096,disabled authors,en,US,50,video,date,daily,batch_3
KW0097,neurodivergent books,en,US,50,video,date,daily,batch_3
KW0098,autism books,en,US,50,video,date,daily,batch_3
KW0099,feminist fiction,en,US,50,video,date,daily,batch_3
KW0100,feminist literature,en,US,50,video,date,daily,batch_3
KW0101,women authors,en,US,50,video,date,daily,batch_3
KW0102,decolonized reading list,en,US,50,video,date,daily,batch_1
KW0103,decolonial books,en,US,50,video,date,daily,batch_3
KW0104,decolonizing literature,en,US,50,video,date,daily,batch_3
KW0105,anti colonial books,en,US,50,video,date,daily,batch_3
KW0106,critical theory books,en,US,50,video,date,daily,batch_3
KW0107,postcolonial literature,en,US,50,video,date,daily,batch_3
KW0108,feminist theory books,en,US,50,video,date,daily,batch_3
KW0109,intersectional feminism books,en,US,50,video,date,daily,batch_3
KW0110,comfort reads,en,US,50,video,date,daily,batch_1
KW0111,cozy books,en,US,50,video,date,daily,batch_1
