keyword_id,search_string,language,region,max_results,search_type,order,frequency,batch
KW0001,fantasy books,en,US,50,video,relevance,daily,batch_1
KW0002,fantasy book recommendations,en,US,50,video,relevance,daily,batch_2
KW0003,epic fantasy books,en,US,50,video,relevance,daily,batch_2
KW0004,cozy fantasy,en,US,50,video,relevance,daily,batch_1
KW0005,romantasy,en,US,50,video,relevance,daily,batch_1
KW0006,dark fantasy books,en,US,50,video,relevance,daily,batch_2
KW0007,progression fantasy books,en,US,50,video,relevance,daily,batch_2
KW0008,grimdark books,en,US,50,video,relevance,daily,batch_2
KW0009,urban fantasy books,en,US,50,video,relevance,daily,batch_2
KW0010,historical fantasy books,en,US,50,video,relevance,daily,batch_2
KW0011,portal fantasy books,en,US,50,video,relevance,daily,batch_2
KW0012,sword and sorcery books,en,US,50,video,relevance,daily,batch_2
KW0013,gaslamp fantasy books,en,US,50,video,relevance,daily,batch_2
KW0014,mythological retelling,en,US,50,video,relevance,daily,batch_2
KW0015,Arthurian fantasy,en,US,50,video,relevance,daily,batch_2
KW0016,science fiction books,en,US,50,video,relevance,daily,batch_1
KW0017,sci fi books,en,US,50,video,relevance,daily,batch_1
KW0018,hard sci fi,en,US,50,video,relevance,daily,batch_2
KW0019,space opera books,en,US,50,video,relevance,daily,batch_2
KW0020,military sci fi books,en,US,50,video,relevance,daily,batch_2
KW0021,cyberpunk books,en,US,50,video,relevance,daily,batch_2
KW0022,solarpunk,en,US,50,video,relevance,daily,batch_1
KW0023,hopepunk books,en,US,50,video,relevance,daily,batch_2
KW0024,climate fiction,en,US,50,video,relevance,daily,batch_1
KW0025,cli fi,en,US,50,video,relevance,daily,batch_2
KW0026,dystopian fiction books,en,US,50,video,relevance,daily,batch_2
KW0027,post apocalyptic books,en,US,50,video,relevance,daily,batch_2
KW0028,first contact sci fi,en,US,50,video,relevance,daily,batch_2
KW0029,AI fiction,en,US,50,video,relevance,daily,batch_2
KW0030,horror books,en,US,50,video,relevance,daily,batch_1
KW0031,gothic horror books,en,US,50,video,relevance,daily,batch_2
KW0032,folk horror books,en,US,50,video,relevance,daily,batch_2
KW0033,cosmic horror books,en,US,50,video,relevance,daily,batch_2
KW0034,psychological horror books,en,US,50,video,relevance,daily,batch_2
KW0035,mystery books,en,US,50,video,relevance,daily,batch_1
