keyword,category,subcategory,keyword_type,publish_month,publish_month_date,publish_year,video_count,total_views,avg_engagement_rate
romantasy,Fiction,Fantasy,genre,2025-12,2025-12-01,2025,47,7624710,0.041658480760381665
cozy fantasy,Fiction,Fantasy,genre,2026-01,2026-01-01,2026,50,466192,0.055518913709419464
booktok,Reading Community Behavior,BookTok,community_behavior,2026-03,2026-03-01,2026,50,49663003,0.032459209050018312
cozy fantasy,Fiction,Fantasy,genre,2026-04,2026-04-01,2026,50,38969,0.07441976717961464
romantasy,Fiction,Fantasy,genre,2025-11,2025-11-01,2025,50,12201349,0.042991395929805741
romantasy,Fiction,Fantasy,genre,2025-07,2025-07-01,2025,50,2169632,0.034689661289982972
booktok,Reading Community Behavior,BookTok,community_behavior,2025-09,2025-09-01,2025,50,52068784,0.027124413496480409
booktok,Reading Community Behavior,BookTok,community_behavior,2025-08,2025-08-01,2025,50,93784642,0.033347056729334121
romantasy,Fiction,Fantasy,genre,2025-06,2025-06-01,2025,47,1642064,0.0359519091557798
cozy fantasy,Fiction,Fantasy,genre,2025-04,2025-04-01,2025,47,2128924,0.0453653148428198
cozy fantasy,Fiction,Fantasy,genre,2025-03,2025-03-01,2025,47,5647889,0.060531557370161838
booktok,Reading Community Behavior,BookTok,community_behavior,2025-02,2025-02-01,2025,50,77060883,0.039219921598261695
cozy fantasy,Fiction,Fantasy,genre,2025-11,2025-11-01,2025,50,854875,0.086319254545018917
romantasy,Fiction,Fantasy,genre,2026-01,2026-01-01,2026,12,518032,0.0658874793495765
booktok,Reading Community Behavior,BookTok,community_behavior,2026-05,2026-05-01,2026,50,20060949,0.03233580418224561
booktok,Reading Community Behavior,BookTok,community_behavior,2026-02,2026-02-01,2026,50,16597486,0.038999289847384593
romantasy,Fiction,Fantasy,genre,2026-04,2026-04-01,2026,14,150094,0.072796475571844016
booktok,Reading Community Behavior,BookTok,community_behavior,2025-10,2025-10-01,2025,50,41216628,0.030041495983865366
cozy fantasy,Fiction,Fantasy,genre,2025-07,2025-07-01,2025,17,2026101,0.029773909876158154
booktok,Reading Community Behavior,BookTok,community_behavior,2025-05,2025-05-01,2025,50,45020978,0.028094566641279697
cozy fantasy,Fiction,Fantasy,genre,2025-12,2025-12-01,2025,50,678493,0.051450394048273264
cozy fantasy,Fiction,Fantasy,genre,2025-06,2025-06-01,2025,50,321076,0.047157178451672
romantasy,Fiction,Fantasy,genre,2025-03,2025-03-01,2025,50,1450954,0.053136006949405193
booktok,Reading Community Behavior,BookTok,community_behavior,2025-01,2025-01-01,2025,5,2520505,0.04428605192482072
romantasy,Fiction,Fantasy,genre,2025-04,2025-04-01,2025,50,4838574,0.036665129819399719
cozy fantasy,Fiction,Fantasy,genre,2026-03,2026-03-01,2026,47,805750,0.074300300125167
romantasy,Fiction,Fantasy,genre,2026-05,2026-05-01,2026,50,1540445,0.056206916567332836
booktok,Reading Community Behavior,BookTok,community_behavior,2025-12,2025-12-01,2025,50,78935524,0.042974485834127482
romantasy,Fiction,Fantasy,genre,2026-02,2026-02-01,2026,50,6475069,0.0096018998520442673
romantasy,Fiction,Fantasy,genre,2025-10,2025-10-01,2025,50,1687610,0.03786853493880276
booktok,Reading Community Behavior,BookTok,community_behavior,2025-11,2025-11-01,2025,50,111133254,0.041460037991913716
romantasy,Fiction,Fantasy,genre,2025-05,2025-05-01,2025,50,4055739,0.035537663797786362
booktok,Reading Community Behavior,BookTok,community_behavior,2025-06,2025-06-01,2025,50,47383113,0.025476522775112222
cozy fantasy,Fiction,Fantasy,genre,2025-09,2025-09-01,2025,47,5366134,0.045019801063179612
cozy fantasy,Fiction,Fantasy,genre,2025-08,2025-08-01,2025,47,4714521,0.040065172220567644
booktok,Reading Community Behavior,BookTok,community_behavior,2025-07,2025-07-01,2025,50,34266904,0.028902920290061005
romantasy,Fiction,Fantasy,genre,2025-01,2025-01-01,2025,50,552726,0.057663460018098633
cozy fantasy,Fiction,Fantasy,genre,2025-02,2025-02-01,2025,50,1412679,0.063771358430235542
cozy fantasy,Fiction,Fantasy,genre,2026-02,2026-02-01,2026,47,132353,0.071804971723121266
cozy fantasy,Fiction,Fantasy,genre,2026-05,2026-05-01,2026,50,126474,0.067653514416831192
booktok,Reading Community Behavior,BookTok,community_behavior,2026-01,2026-01-01,2026,50,72241311,0.036742603573591756
romantasy,Fiction,Fantasy,genre,2026-03,2026-03-01,2026,50,4638613,0.053247100814260852
booktok,Reading Community Behavior,BookTok,community_behavior,2026-04,2026-04-01,2026,47,19313849,0.042591090043380721
cozy fantasy,Fiction,Fantasy,genre,2025-10,2025-10-01,2025,50,717151,0.036371924933760007
romantasy,Fiction,Fantasy,genre,2025-08,2025-08-01,2025,50,12622183,0.031918545824451867
romantasy,Fiction,Fantasy,genre,2025-02,2025-02-01,2025,50,673949,0.054250219345538093
booktok,Reading Community Behavior,BookTok,community_behavior,2025-04,2025-04-01,2025,50,182959274,0.025711923949995306
cozy fantasy,Fiction,Fantasy,genre,2025-01,2025-01-01,2025,50,9561547,0.041758051839705171
booktok,Reading Community Behavior,BookTok,community_behavior,2025-03,2025-03-01,2025,50,68421537,0.035579237893939408
cozy fantasy,Fiction,Fantasy,genre,2025-05,2025-05-01,2025,50,1916890,0.035803824111952973
romantasy,Fiction,Fantasy,genre,2025-09,2025-09-01,2025,9,307248,0.060288197289379376
